country,vaccines,people_fully_vaccinated,people_vaccinated,total_vaccinations
Georgia,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",1256517.0,1600698.0,2857215.0
Germany,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",63142649.0,63664250.0,171940027.0
Ghana,"Oxford/AstraZeneca, Sputnik V",4867214.0,8793591.0,12637542.0
Gibraltar,"Oxford/AstraZeneca, Pfizer/BioNTech",41228.0,42034.0,116358.0
Greece,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",7592528.0,7896367.0,20503242.0
Greenland,Moderna,38502.0,41243.0,79745.0
Grenada,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech",37915.0,43292.0,87154.0
Guatemala,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",5929957.0,7624143.0,15845925.0
Guernsey,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",51351.0,54146.0,150724.0
Guinea,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",2480075.0,3472605.0,5952680.0
Guinea-Bissau,"Oxford/AstraZeneca, Sinopharm/Beijing",341495.0,519455.0,562620.0
Guyana,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",360587.0,471864.0,889522.0
Haiti,"Johnson&Johnson, Moderna",112335.0,163710.0,249801.0
Honduras,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",4777999.0,5377876.0,11995048.0
Hong Kong,"Pfizer/BioNTech, Sinovac",5739533.0,6502770.0,14944464.0
Hungary,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",6186672.0,6402207.0,16429829.0
Iceland,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",290193.0,309770.0,805469.0
India,"Covaxin, Oxford/AstraZeneca, Sputnik V",828229455.0,984838143.0,1834500657.0
Indonesia,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",158830466.0,196240871.0,377108938.0
Iran,"COVIran Barekat, Covaxin, FAKHRAVAC, Oxford/AstraZeneca, Razi Cov Pars, Sinopharm/Beijing, Soberana02, SpikoGen, Sputnik V",56810058.0,63872818.0,146792557.0
Iraq,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",7121524.0,10266670.0,17536902.0
Ireland,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",4007756.0,4069002.0,10741777.0
Isle of Man,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",66975.0,69518.0,189498.0
Israel,"Moderna, Pfizer/BioNTech",6128503.0,6702717.0,18062854.0
Italy,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",47817555.0,50723408.0,135870869.0
Jamaica,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",672613.0,780377.0,1393819.0
Japan,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",100633737.0,102467506.0,254345587.0
Jersey,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",79327.0,82777.0,226090.0
Jordan,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",4412071.0,4714575.0,9727982.0
Kazakhstan,"QazVac, Sinopharm/Beijing, Sputnik V",9150398.0,9451240.0,20918681.0
Kenya,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",8090985.0,11696182.0,17327143.0
Kiribati,Oxford/AstraZeneca,55333.0,78620.0,133953.0
Kosovo,"Oxford/AstraZeneca, Pfizer/BioNTech",820317.0,901602.0,1821917.0
Kuwait,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",3283891.0,3410314.0,7814545.0
Kyrgyzstan,"Sinopharm/Beijing, Sputnik V",1237551.0,1488749.0,2902889.0
Laos,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",4455505.0,5593478.0,10048983.0
Latvia,"Johnson&Johnson, Moderna, Novavax, Pfizer/BioNTech",1302192.0,1344075.0,2874324.0
Lebanon,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2201517.0,2516012.0,5276097.0
Lesotho,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",727528.0,782175.0,905438.0
Liberia,Oxford/AstraZeneca,1015633.0,1047889.0,1132502.0
Libya,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",1125758.0,2201314.0,3415834.0
Liechtenstein,"Johnson&Johnson, Moderna, Pfizer/BioNTech",26395.0,26721.0,70434.0
Lithuania,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",1872520.0,1948513.0,4465769.0
Luxembourg,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",460292.0,480279.0,1280144.0
Macao,"Pfizer/BioNTech, Sinopharm/Beijing",509829.0,579965.0,1238228.0
Madagascar,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",1050879.0,1098703.0,1306962.0
Malawi,"Johnson&Johnson, Oxford/AstraZeneca",861888.0,1570322.0,1993981.0
Malaysia,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",25801561.0,27494218.0,68795057.0
Maldives,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",371439.0,398348.0,913264.0
Mali,Oxford/AstraZeneca,978690.0,1331919.0,1873615.0
Malta,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",466296.0,473639.0,1255851.0
Mauritania,"Oxford/AstraZeneca, Sinopharm/Beijing",1057009.0,1553213.0,2650797.0
Mauritius,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",963452.0,1000474.0,2494317.0
Mexico,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",79711762.0,85580293.0,191907868.0
Moldova,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",1054472.0,1083286.0,2123778.0
Monaco,Pfizer/BioNTech,25667.0,28875.0,65140.0
Mongolia,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",2174463.0,2272363.0,5478794.0
Montenegro,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",281571.0,289687.0,668206.0
Montserrat,Oxford/AstraZeneca,1804.0,1897.0,4211.0
Morocco,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",23346308.0,24878016.0,54201634.0
Mozambique,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",13130997.0,14243939.0,26215793.0
Myanmar,"Oxford/AstraZeneca, Sinopharm/Beijing",21803150.0,26473700.0,49316486.0
Namibia,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",383923.0,450833.0,834756.0
Nauru,Oxford/AstraZeneca,7674.0,9150.0,16824.0
Nepal,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",19014212.0,21994736.0,39935568.0
Netherlands,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",12366525.0,13455761.0,34038677.0
New Caledonia,Pfizer/BioNTech,179880.0,188003.0,367883.0
New Zealand,"Oxford/AstraZeneca, Pfizer/BioNTech",4051832.0,4284293.0,10950139.0
Nicaragua,"Abdala, Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Soberana02, Sputnik Light, Sputnik V",4113547.0,5498389.0,9611936.0
Niger,"Oxford/AstraZeneca, Sinopharm/Beijing",1545630.0,2180972.0,2681673.0
Nigeria,Oxford/AstraZeneca,9565143.0,21049754.0,31391732.0
Niue,Pfizer/BioNTech,1417.0,1650.0,4161.0
North Macedonia,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",835151.0,852584.0,1836421.0
Northern Cyprus,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",275988.0,284357.0,617389.0
Northern Ireland,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",1330523.0,1423609.0,3754751.0
Norway,"Moderna, Pfizer/BioNTech",4027038.0,4331582.0,11269240.0
Oman,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",3021149.0,3242461.0,6986946.0
Pakistan,"CanSino, Covaxin, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",101881176.0,128074138.0,219368557.0
Palestine,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",1756319.0,1995873.0,3694897.0
Panama,"Oxford/AstraZeneca, Pfizer/BioNTech",3017898.0,3434847.0,7889044.0
Papua New Guinea,Oxford/AstraZeneca,257566.0,317150.0,574716.0
Paraguay,"Covaxin, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",3316744.0,3868131.0,8428214.0
Peru,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",25480351.0,28381144.0,65552891.0
Philippines,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",65804988.0,70173137.0,148799120.0
Pitcairn,Oxford/AstraZeneca,47.0,47.0,94.0
Poland,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",22343826.0,22585418.0,53908363.0
Portugal,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",9415073.0,9663542.0,22923599.0
Qatar,"Moderna, Pfizer/BioNTech",2593517.0,2593517.0,6607185.0
Romania,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",8083344.0,8162071.0,16736886.0
Russia,"EpiVacCorona, Sputnik V",72841232.0,79954746.0,163601171.0
Rwanda,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",8036044.0,8895871.0,19421047.0
Saint Helena,Oxford/AstraZeneca,3531.0,4361.0,7892.0
Saint Kitts and Nevis,"Oxford/AstraZeneca, Pfizer/BioNTech",26294.0,31162.0,60467.0
Saint Lucia,"Oxford/AstraZeneca, Pfizer/BioNTech",52713.0,58119.0,117740.0
Saint Vincent and the Grenadines,Oxford/AstraZeneca,30123.0,36033.0,69602.0
Samoa,Oxford/AstraZeneca,131031.0,173862.0,304893.0
San Marino,"Pfizer/BioNTech, Sputnik V",23602.0,26331.0,68230.0
Sao Tome and Principe,Oxford/AstraZeneca,86046.0,113027.0,205085.0
Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech",24460457.0,26167138.0,62388851.0
Scotland,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",4172472.0,4458008.0,12115448.0
Senegal,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",1039257.0,1457116.0,2496373.0
Serbia,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",3269374.0,3347209.0,8494958.0
Seychelles,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",80089.0,84327.0,199466.0
Sierra Leone,"Oxford/AstraZeneca, Sinopharm/Beijing",1114047.0,1727305.0,2134324.0
Singapore,"Moderna, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",4964989.0,5005722.0,13825593.0
Sint Maarten (Dutch part),"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",25970.0,27974.0,62043.0
Slovakia,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",2763187.0,2819708.0,7052526.0
Slovenia,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",1220153.0,1264649.0,2977006.0
Solomon Islands,Oxford/AstraZeneca,122405.0,235668.0,358073.0
Somalia,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",1290895.0,1929472.0,2395219.0
South Africa,"Johnson&Johnson, Pfizer/BioNTech",17833534.0,20894155.0,33485691.0
South Korea,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech",44482876.0,44948629.0,120604515.0
South Sudan,"Johnson&Johnson, Oxford/AstraZeneca",482816.0,526243.0,575057.0
Spain,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",40118474.0,41134037.0,93807121.0
Sri Lanka,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",14387077.0,16995787.0,39102567.0
Sudan,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",2746556.0,5171677.0,6131070.0
Suriname,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",237194.0,267335.0,504529.0
Sweden,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",7614496.0,7817094.0,21053545.0
Switzerland,"Johnson&Johnson, Moderna, Pfizer/BioNTech",5993447.0,6081712.0,15635047.0
Syria,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",1318742.0,2308843.0,3369196.0
Taiwan,"Medigen, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",18254357.0,19449353.0,49481298.0
Tajikistan,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",4614268.0,5085230.0,10439469.0
Tanzania,"Johnson&Johnson, Pfizer/BioNTech, Sinopharm/Beijing",3067877.0,3941772.0,5031070.0
Thailand,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",50159803.0,55362342.0,128882372.0
Timor,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",578949.0,700055.0,1297126.0
Togo,Oxford/AstraZeneca,1557538.0,1558542.0,2757575.0
Tokelau,Pfizer/BioNTech,968.0,968.0,1936.0
Tonga,Oxford/AstraZeneca,70283.0,76910.0,147193.0
Trinidad and Tobago,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",708762.0,746106.0,1543684.0
Tunisia,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",6345597.0,7171789.0,13037269.0
Turkey,"Pfizer/BioNTech, Sinovac, Turkovac",52968985.0,57776278.0,146881913.0
Turkmenistan,"EpiVacCorona, Oxford/AstraZeneca, QazVac, Sinopharm/Beijing, Sputnik V, ZF2001",3206282.0,4374694.0,7580976.0
Turks and Caicos Islands,Pfizer/BioNTech,29400.0,31419.0,68670.0
Tuvalu,Oxford/AstraZeneca,5884.0,6230.0,12114.0
Uganda,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",8014082.0,14131307.0,17197954.0
Ukraine,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",15221792.0,15729617.0,31683310.0
United Arab Emirates,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V",9603499.0,9890318.0,24463702.0
United Kingdom,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",49404026.0,52788065.0,140968337.0
United States,"Johnson&Johnson, Moderna, Pfizer/BioNTech",217498967.0,255362450.0,560181791.0
Uruguay,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",2842482.0,2972777.0,8027751.0
Uzbekistan,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik Light, Sputnik V, ZF2001",13852504.0,18633103.0,44177104.0
Vanuatu,Oxford/AstraZeneca,85180.0,114284.0,199464.0
Venezuela,"Abdala, Sinopharm/Beijing, Sinovac, Soberana02, Sputnik Light, Sputnik V",14287370.0,22157232.0,37860994.0
Vietnam,"Abdala, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",77754108.0,79947189.0,203144374.0
Wales,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2399341.0,2528664.0,6927437.0
Wallis and Futuna,Moderna,6457.0,6483.0,13073.0
Yemen,"Johnson&Johnson, Oxford/AstraZeneca, Sinovac",404781.0,643501.0,807502.0
Zambia,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",2182849.0,2829929.0,3402612.0
Zimbabwe,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",3510256.0,5053114.0,9039729.0
